FnGroup,PlotGroup,Name,WPA,EPA.APS,EPA.APN,AOS,CIA,CIS,CIN
4,5,Sperm whales,NA,NA,NA,NA,0.0011,NA,NA
4,5,Sub-Antarctic Fur Seals,NA,NA,NA,NA,NA,NA,0.001059751
4,5,Toothed whales and dolphins,NA,NA,NA,NA,NA,3.26E-05,NA
4,5,Toothed_whale,NA,NA,NA,0.000554446,NA,NA,NA
4,5,Toothed_whales,1.55E-05,NA,NA,NA,NA,NA,NA
4,5,Wandering Albatross,NA,NA,NA,NA,NA,NA,1.64E-05
4,5,Weddell,0.000250933,NA,NA,NA,NA,NA,NA
4,5,Weddell seal,NA,0.000947976,NA,NA,NA,NA,NA
4,5,Weddell Seal,NA,NA,0.000279597,NA,NA,NA,NA
4,5,Weddell seals,NA,NA,NA,NA,0.0045,NA,NA
5,5,Killer Whale,NA,NA,2.58E-05,NA,NA,NA,NA
5,5,Killer whales,NA,NA,NA,NA,6.00E-04,2.76E-07,NA
5,5,Leopard,9.06E-05,NA,NA,NA,NA,NA,NA
5,5,Leopard seals,NA,NA,NA,NA,2.00E-04,NA,NA
5,5,Leopard Seals,NA,NA,2.89E-05,NA,NA,NA,NA
5,5,Leopard_seal,NA,NA,NA,7.23E-06,NA,NA,NA
5,5,Orca,0.000294275,NA,NA,NA,NA,NA,NA
5,5,Orcas,NA,NA,NA,NA,NA,NA,2.91E-06
6,6,Benthic invertebrates,NA,0.78608988,0.294531958,NA,NA,NA,NA
6,6,Benthic_invertebrates,NA,NA,NA,0.903760802,NA,NA,NA
6,6,Benthos,NA,NA,NA,NA,0.715,NA,0.057411675
6,6,Macrobenthos,0.276881049,NA,NA,NA,NA,NA,NA
6,6,Megabenthos,0.856473422,NA,NA,NA,NA,NA,NA
6,6,Meiobenthos,0.027613319,NA,NA,NA,NA,NA,NA
6,6,Other_shelfish,NA,NA,NA,0.361873629,NA,NA,NA
6,6,Zoobenthos,NA,NA,NA,NA,NA,0.949554896,NA
7,7,Benthic Decapod,NA,NA,NA,NA,NA,NA,0.004363287
7,7,Benthic fish,NA,0.078059837,NA,NA,NA,NA,NA
7,7,G gibberifrons,NA,NA,0.00413197,NA,NA,NA,NA
7,7,L_demersal,0.005955567,NA,NA,NA,NA,NA,NA
7,7,Large deep-sea demersal fish,NA,NA,NA,NA,NA,0.008605341,NA
7,7,Large Demersals,NA,NA,NA,NA,NA,NA,0.003272465
7,7,Large Nototheniid Demersals,NA,NA,NA,NA,NA,NA,0.001096563
7,7,M_demersal,0.00609128,NA,NA,NA,NA,NA,NA
7,7,N. rossi,NA,NA,0.000475177,NA,NA,NA,NA
7,7,On-shelf fish,NA,NA,0.018077367,NA,NA,NA,NA
7,7,Other demersal fish,NA,NA,NA,NA,NA,0.03851632,NA
7,7,Rays,NA,NA,NA,0.001121569,NA,NA,NA
7,7,Rock_cods,NA,NA,NA,0.067876236,NA,NA,NA
7,7,S_demersal,0.058473064,NA,NA,NA,NA,NA,NA
7,7,Sharks and Rays,NA,NA,NA,NA,NA,NA,4.13E-05
