"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"65",4,5,"Albatrosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4e-05,1.00890207715134e-06,NA,NA
"66",4,5,"Antarctic fur seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00034,1.00890207715134e-05,NA,NA
"67",4,5,"Antarctic Fur Seal",NA,NA,NA,NA,0.001,3.44330799976861e-06,NA,NA,NA,NA,NA,NA,NA,NA
"68",4,5,"Antarctic Fur Seals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002617,3.00492706994924e-05
"69",4,5,"Baleen whales",NA,NA,NA,NA,NA,NA,NA,NA,0.127,0.0127,0.027,0.000801186943620178,NA,NA
"70",4,5,"Baleen_whale",NA,NA,NA,NA,NA,NA,0.077459849,0.0122356880870922,NA,NA,NA,NA,NA,NA
"71",4,5,"Baleen_whales",0.000465136,0.0002931226633296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",4,5,"Black_browed_albatross",NA,NA,NA,NA,NA,NA,0.004296266,0.000678645406540612,NA,NA,NA,NA,NA,NA
"73",4,5,"Blue Whale",NA,NA,NA,NA,0.0072,2.4791817598334e-05,NA,NA,NA,NA,NA,NA,NA,NA
"74",4,5,"Chinstrap Penguin",NA,NA,NA,NA,0.0214,7.36867911950482e-05,NA,NA,NA,NA,NA,NA,NA,NA
"75",4,5,"Chinstrap_penguin",NA,NA,NA,NA,NA,NA,0.000123318,1.94795187830025e-05,NA,NA,NA,NA,NA,NA
"76",4,5,"Crabeater",0.002207661,0.00139123927635979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",4,5,"Crabeater seal",NA,NA,0.031997115,0.0125789281068146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",4,5,"Crabeater Seal",NA,NA,NA,NA,1.0978,0.00378006352214598,NA,NA,NA,NA,NA,NA,NA,NA
"79",4,5,"Crabeater seals",NA,NA,NA,NA,NA,NA,NA,NA,0.206,0.0206,NA,NA,NA,NA
"80",4,5,"Dark-mantled Sooty Albatross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55e-05,2.92799542543774e-06
"81",4,5,"Diverse_flying_seabirds",NA,NA,NA,NA,NA,NA,0.064159676,0.0101347703802637,NA,NA,NA,NA,NA,NA
"82",4,5,"Elephant_seal",NA,NA,NA,NA,NA,NA,0.10603192,0.0167489804995039,NA,NA,NA,NA,NA,NA
"83",4,5,"Emperor",0.000490205,0.000308920821388769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",4,5,"Emperor Penguin",NA,NA,NA,NA,1e-04,3.44330799976861e-07,NA,NA,NA,NA,NA,NA,NA,NA
"85",4,5,"Emperor penguins",NA,NA,NA,NA,NA,NA,NA,NA,0.009,9e-04,NA,NA,NA,NA
"86",4,5,"Fin Whales",NA,NA,NA,NA,0.0428,0.000147373582390096,NA,NA,NA,NA,NA,NA,NA,NA
"87",4,5,"Flying birds",NA,NA,NA,NA,0.004,1.37732319990744e-05,NA,NA,0.003,3e-04,NA,NA,NA,NA
